"id","code","name","calories","protein","carbohydrates","fats","total_sugars","cholesterol","sodium","dietary_fiber","iron","calcium"
9219,75649048,"מרק דלעת לקובה עם שמן סויה",22.68391609,0.493954897,3.454733849,0.873235226,2.026352406,0.04283208,126.7235718,0.369996279,0.328161329,13.4914217
9220,75649088,"מרק דלעת לקובה עם שמן קנולה",22.68391609,0.493954897,3.454733849,0.873235226,2.026352406,0.04283208,126.7235718,0.369996279,0.327781618,13.4914217
9221,75649188,"מרק חמוסטה לקובה עם שמן סויה",16.93776131,0.740794003,1.685858011,0.734444916,1.007016182,0.034365412,137.635788,0.814045906,0.530066967,25.50236511
9222,75649108,"מרק חמוסטה לקובה עם שמן קנולה",115.6372833,0.664191902,1.511531234,12.02173233,0.902885377,0.030811843,123.403511,0.729869187,0.474982053,22.86528397
9223,53452108,"עוגיות מעמול מבצק פריך במילוי תמרים ואגוזים עם חמאה",463.8925171,6.278209209,56.914814,23.04299164,31.42797279,85.44513702,7.874596119,3.469584703,0.988217533,38.21572113
9224,53452198,"עוגיות מבצק פריך במילוי שוקולד עם חמאה",537.9176025,5.434293747,60.6726799,29.71488953,32.72847366,92.78297424,9.792333603,2.792825937,2.102253199,54.51807785
9225,53452208,"עוגיות רחת לוקום עם חמאה",372.4206848,5.393385887,55.58443451,14.03322506,17.18259239,71.48274231,186.8033752,1.133636117,0.651702225,36.53931808
9226,56112508,"אטריות ברוטב עגבניות מרסק עגבניות ושמן קנולה",166.7979584,5.564453125,28.43263054,2.414945364,1.897143602,0,280.1524658,1.93793571,1.43676579,12.55813217
9227,56207178,"קוסקוס ביתי עם שמן קנולה",184.6364899,5.435528278,31.21999359,3.879457951,0,0,204.6750641,1.671810746,0.503755152,12.65775013
9228,56230068,"אורז עם אטריות בשמן קנולה",191.2785645,3.375297308,30.16926384,5.726723671,0.709348381,0,70.82060242,0.745199323,0.286358893,12.69290543
9229,56230078,"אורז מטוגן עם ירקות, ביצה ושמן קנולה, סגנון סיני",170.4994812,3.50502944,24.99953651,5.64585495,0.633021116,27.94311333,208.2437286,0.822060347,0.356052727,16.14753151
9230,56230278,"אורז עם צימוקים בשמן קנולה",179.1864166,2.948788881,34.40442276,2.971564054,5.553317547,0,206.0979462,0.735913694,0.372459203,14.6076889
9231,56230288,"אורז עם צנוברים מטוגנים בשמן קנולה",238.7097473,3.885451317,27.44165611,12.50620747,0.438294947,0,149.1749725,0.73526603,0.720293343,11.16840458
9232,56230338,"אורז עם שעועית לבנה, בצל ושמן קנולה",177.5780792,4.328418732,27.17377281,4.732834339,0.671792328,0,122.8729172,2.030398846,1.090786099,36.25534058
9233,51231048,"לחם מחיטה מלאה ביתי עם שמן זית",228.411377,8.338989258,38.85325623,3.122979641,2.556699276,0,125.1753998,6.682120323,2.174795151,24.4428997
